 no_of_dependents, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, commercial_assets_value, luxury_assets_value, loan_status, education_ Graduate, education_ Not Graduate, self_employed_ No, self_employed_ Yes,loan_status_encoded
0,8600000,32600000,8,778,21500000,14100000,33600000,Approved,0.0,1.0,0.0,1.0,1
2,1700000,5300000,20,761,2500000,500000,3700000,Approved,0.0,1.0,1.0,0.0,1
4,3200000,12200000,14,683,-100000,1100000,7500000,Rejected,1.0,0.0,1.0,0.0,0
3,900000,2400000,16,701,700000,0,2000000,Approved,0.0,1.0,1.0,0.0,1
4,6300000,17600000,6,612,16000000,3300000,23500000,Approved,1.0,0.0,1.0,0.0,1
3,6100000,24000000,18,718,4100000,3400000,16600000,Approved,1.0,0.0,1.0,0.0,1
5,6900000,19700000,6,588,9800000,7500000,17100000,Approved,1.0,0.0,1.0,0.0,1
0,9100000,26400000,6,518,15800000,1100000,35300000,Rejected,0.0,1.0,1.0,0.0,0
4,9900000,28400000,10,763,23700000,12700000,35800000,Approved,1.0,0.0,1.0,0.0,1
4,9000000,21500000,14,508,16600000,17300000,24300000,Rejected,0.0,1.0,0.0,1.0,0
0,9300000,22200000,14,701,600000,10100000,35900000,Approved,0.0,1.0,0.0,1.0,1
4,7900000,31400000,8,698,16500000,11400000,28700000,Approved,1.0,0.0,1.0,0.0,1
0,300000,500000,18,702,300000,400000,1200000,Approved,1.0,0.0,1.0,0.0,1
5,6400000,21900000,12,699,15700000,500000,17200000,Approved,1.0,0.0,0.0,1.0,1
4,6100000,20900000,4,662,10200000,7000000,23300000,Approved,0.0,1.0,1.0,0.0,1
5,4500000,16900000,18,455,2700000,2500000,10700000,Rejected,1.0,0.0,1.0,0.0,0
1,3600000,13700000,10,548,9900000,2400000,8900000,Rejected,0.0,1.0,0.0,1.0,0
2,5400000,11500000,6,841,6800000,100000,11100000,Approved,0.0,1.0,0.0,1.0,1
1,6200000,14300000,20,819,7500000,11700000,16700000,Approved,1.0,0.0,1.0,0.0,1
2,6200000,21600000,20,679,18600000,2500000,24500000,Approved,0.0,1.0,0.0,1.0,1
0,6100000,14600000,18,645,14500000,200000,23000000,Approved,1.0,0.0,0.0,1.0,1
3,600000,1700000,4,576,400000,100000,2100000,Approved,1.0,0.0,0.0,1.0,1
2,5400000,11900000,6,303,15000000,9200000,15400000,Rejected,0.0,1.0,1.0,0.0,0
2,8700000,19900000,10,829,7500000,10500000,20200000,Approved,0.0,1.0,0.0,1.0,1
3,500000,2000000,12,890,800000,700000,1800000,Approved,1.0,0.0,1.0,0.0,1
0,1900000,6900000,4,749,2100000,3700000,4300000,Approved,0.0,1.0,1.0,0.0,1
1,4200000,16200000,14,391,5800000,2100000,14100000,Rejected,0.0,1.0,1.0,0.0,0
5,9800000,24200000,20,382,12400000,8200000,29400000,Rejected,0.0,1.0,0.0,1.0,0
2,9200000,25300000,4,827,25900000,15900000,19300000,Approved,1.0,0.0,0.0,1.0,1
0,3500000,11900000,12,686,4400000,4800000,10100000,Approved,0.0,1.0,1.0,0.0,1
3,4700000,9800000,14,444,8200000,300000,15700000,Rejected,1.0,0.0,1.0,0.0,0
2,1900000,7500000,2,889,600000,1100000,7100000,Approved,0.0,1.0,1.0,0.0,1
5,9500000,22200000,20,352,24500000,0,30800000,Rejected,0.0,1.0,1.0,0.0,0
1,5200000,19500000,12,778,5200000,4300000,19900000,Approved,1.0,0.0,0.0,1.0,1
4,7700000,17200000,6,561,6000000,5000000,15400000,Approved,0.0,1.0,1.0,0.0,1
0,6500000,16200000,4,812,17200000,10700000,20200000,Approved,1.0,0.0,1.0,0.0,1
5,5300000,20500000,16,802,11200000,7100000,21100000,Approved,1.0,0.0,1.0,0.0,1
1,1200000,3400000,20,717,3100000,1500000,2500000,Approved,1.0,0.0,1.0,0.0,1
3,2100000,7400000,14,656,5600000,400000,5200000,Approved,1.0,0.0,0.0,1.0,1
4,5300000,12000000,10,329,15300000,9300000,17300000,Rejected,1.0,0.0,0.0,1.0,0
1,800000,2500000,4,409,1300000,1000000,3100000,Approved,1.0,0.0,0.0,1.0,1
3,3200000,10800000,4,833,2600000,1000000,8700000,Approved,0.0,1.0,1.0,0.0,1
2,9800000,37600000,10,641,24100000,0,23400000,Approved,0.0,1.0,1.0,0.0,1
5,9000000,24200000,4,646,12400000,5500000,18100000,Approved,1.0,0.0,1.0,0.0,1
0,6000000,12400000,2,608,3000000,2100000,17900000,Approved,0.0,1.0,1.0,0.0,1
5,9500000,30700000,10,823,16300000,3700000,30300000,Approved,0.0,1.0,1.0,0.0,1
2,7600000,22300000,12,555,2100000,13800000,17700000,Approved,1.0,0.0,0.0,1.0,1
5,2300000,5000000,10,431,300000,3700000,8700000,Rejected,0.0,1.0,0.0,1.0,0
1,9900000,38700000,6,670,19400000,12600000,35800000,Approved,0.0,1.0,1.0,0.0,1
3,3200000,6900000,20,735,1500000,3700000,9200000,Approved,1.0,0.0,1.0,0.0,1
4,1300000,4600000,10,312,1800000,600000,3100000,Rejected,1.0,0.0,1.0,0.0,0
2,3900000,7700000,10,421,9700000,7500000,14100000,Rejected,0.0,1.0,0.0,1.0,0
0,8400000,22300000,14,371,8300000,3700000,22300000,Rejected,0.0,1.0,1.0,0.0,0
0,900000,2100000,6,521,100000,1700000,2100000,Rejected,0.0,1.0,0.0,1.0,0
1,7000000,21000000,20,554,16900000,6600000,14600000,Approved,1.0,0.0,1.0,0.0,1
3,9300000,36600000,6,431,22000000,14600000,32900000,Rejected,0.0,1.0,1.0,0.0,0
0,8800000,23600000,8,712,400000,11300000,19300000,Approved,1.0,0.0,0.0,1.0,1
4,9800000,21200000,20,355,22000000,8900000,31800000,Rejected,0.0,1.0,0.0,1.0,0
1,3300000,11700000,4,682,3500000,5500000,12300000,Approved,1.0,0.0,0.0,1.0,1
5,4400000,8900000,4,761,8100000,1000000,14200000,Approved,0.0,1.0,0.0,1.0,1
1,2800000,6700000,12,322,1900000,2000000,8600000,Rejected,0.0,1.0,1.0,0.0,0
4,8100000,19000000,6,375,4100000,14500000,19100000,Rejected,1.0,0.0,1.0,0.0,0
2,4100000,14900000,12,571,-100000,5200000,13000000,Approved,1.0,0.0,1.0,0.0,1
1,2600000,6600000,20,765,2100000,200000,5200000,Approved,0.0,1.0,0.0,1.0,1
0,2800000,6300000,12,647,4100000,0,8700000,Approved,0.0,1.0,0.0,1.0,1
4,6900000,21400000,10,577,12500000,2200000,14900000,Approved,1.0,0.0,0.0,1.0,1
0,8000000,21100000,6,306,16100000,11800000,28200000,Rejected,0.0,1.0,0.0,1.0,0
5,8400000,18600000,20,703,2500000,7100000,28800000,Approved,0.0,1.0,0.0,1.0,1
5,5200000,18100000,8,809,2400000,6900000,14000000,Approved,0.0,1.0,0.0,1.0,1
4,5600000,20300000,20,596,5100000,10900000,12700000,Approved,1.0,0.0,1.0,0.0,1
4,2000000,7400000,20,596,600000,2300000,4900000,Approved,1.0,0.0,0.0,1.0,1
0,8000000,18000000,16,791,13900000,10300000,23400000,Approved,0.0,1.0,1.0,0.0,1
3,5600000,19900000,16,551,14000000,4200000,16100000,Approved,0.0,1.0,1.0,0.0,1
1,5700000,19100000,12,649,9400000,10200000,16400000,Approved,0.0,1.0,1.0,0.0,1
2,3300000,6600000,6,331,6300000,2000000,8900000,Rejected,0.0,1.0,1.0,0.0,0
1,500000,1800000,8,877,100000,200000,1100000,Approved,1.0,0.0,0.0,1.0,1
2,2500000,7200000,16,454,4200000,1000000,7100000,Rejected,0.0,1.0,0.0,1.0,0
3,9000000,26700000,14,638,5300000,0,31300000,Approved,0.0,1.0,1.0,0.0,1
3,7400000,18500000,8,818,10400000,8800000,28000000,Approved,1.0,0.0,1.0,0.0,1
5,2400000,8600000,8,309,500000,600000,5700000,Rejected,0.0,1.0,0.0,1.0,0
4,2700000,5400000,6,861,6300000,2400000,6700000,Approved,1.0,0.0,0.0,1.0,1
4,9200000,27200000,12,873,4500000,1800000,33800000,Approved,0.0,1.0,1.0,0.0,1
4,3800000,8500000,10,416,6200000,4800000,14900000,Rejected,1.0,0.0,1.0,0.0,0
2,2500000,8200000,10,429,1500000,4100000,5900000,Rejected,1.0,0.0,1.0,0.0,0
0,8900000,21600000,10,552,2300000,9900000,20700000,Approved,1.0,0.0,1.0,0.0,1
2,3900000,11300000,12,516,3100000,0,10400000,Rejected,0.0,1.0,0.0,1.0,0
2,8800000,26700000,16,696,12900000,15300000,20300000,Approved,1.0,0.0,1.0,0.0,1
2,9300000,21200000,2,509,2800000,2600000,35800000,Rejected,1.0,0.0,1.0,0.0,0
2,8000000,27100000,12,674,14400000,400000,25300000,Approved,1.0,0.0,1.0,0.0,1
4,7500000,21900000,2,585,6800000,12200000,27500000,Approved,0.0,1.0,1.0,0.0,1
5,3000000,8800000,14,402,5600000,5300000,8600000,Rejected,1.0,0.0,0.0,1.0,0
3,7900000,28000000,4,394,22800000,13200000,18200000,Approved,0.0,1.0,1.0,0.0,1
4,9000000,30400000,20,532,21000000,7400000,30500000,Rejected,1.0,0.0,0.0,1.0,0
1,9100000,26200000,8,727,20800000,7100000,27800000,Approved,1.0,0.0,1.0,0.0,1
2,9000000,27300000,14,353,22600000,4400000,26900000,Rejected,0.0,1.0,1.0,0.0,0
4,3200000,11500000,20,864,8700000,5000000,12100000,Approved,1.0,0.0,0.0,1.0,1
5,6000000,19700000,20,376,14700000,10700000,17100000,Rejected,0.0,1.0,1.0,0.0,0
0,4500000,9600000,14,471,3200000,7700000,11000000,Rejected,1.0,0.0,0.0,1.0,0
3,2600000,8100000,2,421,4200000,3100000,6200000,Approved,0.0,1.0,1.0,0.0,1
4,3300000,10800000,4,552,4200000,900000,8600000,Approved,1.0,0.0,1.0,0.0,1
1,9100000,31400000,4,304,14100000,16700000,30200000,Approved,0.0,1.0,0.0,1.0,1
1,500000,1400000,10,883,900000,0,1700000,Approved,0.0,1.0,0.0,1.0,1
3,2900000,8500000,14,834,1200000,4500000,8800000,Approved,0.0,1.0,1.0,0.0,1
3,7200000,21200000,4,711,10800000,4200000,24900000,Approved,0.0,1.0,1.0,0.0,1
3,8400000,19600000,2,741,21500000,200000,18700000,Approved,1.0,0.0,0.0,1.0,1
3,7500000,21600000,14,678,8800000,12100000,20100000,Approved,0.0,1.0,0.0,1.0,1
3,6300000,13900000,18,748,17700000,8800000,21700000,Approved,1.0,0.0,1.0,0.0,1
4,7400000,19400000,16,835,16400000,14200000,23500000,Approved,1.0,0.0,1.0,0.0,1
0,2100000,8200000,4,554,3900000,3800000,5900000,Approved,0.0,1.0,1.0,0.0,1
2,4400000,16500000,16,879,7800000,7500000,10300000,Approved,0.0,1.0,1.0,0.0,1
2,6000000,13900000,4,533,3000000,9600000,14600000,Rejected,1.0,0.0,1.0,0.0,0
1,1000000,3000000,18,614,1800000,1700000,3700000,Approved,1.0,0.0,1.0,0.0,1
1,4700000,14800000,6,661,8500000,6000000,13600000,Approved,1.0,0.0,0.0,1.0,1
1,5500000,14900000,2,403,7400000,8900000,19700000,Rejected,1.0,0.0,0.0,1.0,0
0,1200000,3200000,18,473,2100000,600000,2400000,Rejected,1.0,0.0,0.0,1.0,0
1,3500000,10900000,4,524,8800000,6200000,13600000,Approved,0.0,1.0,1.0,0.0,1
0,3500000,12600000,10,448,1200000,2500000,10400000,Rejected,0.0,1.0,0.0,1.0,0
0,700000,1400000,14,639,1900000,700000,2400000,Approved,0.0,1.0,1.0,0.0,1
5,8800000,21300000,14,852,8000000,6400000,28500000,Approved,1.0,0.0,0.0,1.0,1
2,1100000,3700000,2,806,2700000,800000,2900000,Approved,1.0,0.0,0.0,1.0,1
3,9600000,34500000,20,523,26100000,2600000,24300000,Rejected,1.0,0.0,1.0,0.0,0
5,3200000,10000000,14,610,2900000,3800000,8600000,Approved,0.0,1.0,1.0,0.0,1
2,9100000,20900000,20,632,4200000,400000,30000000,Approved,1.0,0.0,0.0,1.0,1
1,8200000,24000000,4,366,10900000,15200000,25200000,Rejected,1.0,0.0,1.0,0.0,0
2,9900000,19900000,6,312,21400000,2200000,31400000,Rejected,0.0,1.0,1.0,0.0,0
5,7500000,15000000,14,661,12100000,5800000,29900000,Approved,0.0,1.0,0.0,1.0,1
2,1600000,4300000,20,512,3200000,2500000,6300000,Rejected,0.0,1.0,0.0,1.0,0
3,300000,800000,2,458,500000,0,1100000,Rejected,0.0,1.0,1.0,0.0,0
2,5200000,16800000,18,369,5400000,8600000,17000000,Rejected,0.0,1.0,1.0,0.0,0
4,400000,900000,12,478,700000,100000,1200000,Rejected,0.0,1.0,1.0,0.0,0
0,6800000,21700000,20,730,17500000,1300000,18600000,Approved,1.0,0.0,1.0,0.0,1
0,6900000,17000000,20,599,18100000,9400000,26600000,Approved,1.0,0.0,0.0,1.0,1
5,4000000,13900000,6,530,6000000,5600000,12500000,Rejected,0.0,1.0,1.0,0.0,0
1,7800000,17200000,4,597,3700000,12700000,17400000,Approved,0.0,1.0,0.0,1.0,1
3,6300000,19900000,12,770,1900000,2400000,15500000,Approved,1.0,0.0,0.0,1.0,1
4,1400000,3400000,14,835,3100000,100000,4100000,Approved,0.0,1.0,0.0,1.0,1
3,4300000,12800000,16,346,3300000,1100000,11900000,Rejected,1.0,0.0,0.0,1.0,0
3,9100000,25600000,12,688,8900000,16300000,27900000,Approved,0.0,1.0,1.0,0.0,1
0,9600000,34000000,12,710,23800000,10300000,38100000,Approved,0.0,1.0,0.0,1.0,1
3,9000000,32900000,6,657,9900000,600000,29200000,Approved,1.0,0.0,0.0,1.0,1
4,8400000,28700000,14,878,23400000,8300000,23900000,Approved,1.0,0.0,1.0,0.0,1
4,9900000,29100000,18,772,24100000,19400000,26800000,Approved,0.0,1.0,1.0,0.0,1
3,2300000,8000000,8,300,4200000,3800000,7300000,Rejected,1.0,0.0,0.0,1.0,0
2,9800000,38200000,10,743,5400000,14800000,24300000,Approved,0.0,1.0,0.0,1.0,1
5,8600000,28900000,8,516,9900000,1800000,30200000,Rejected,0.0,1.0,0.0,1.0,0
1,2900000,8900000,6,523,900000,5600000,9700000,Rejected,0.0,1.0,1.0,0.0,0
1,3800000,11100000,6,760,2100000,1800000,8700000,Approved,0.0,1.0,0.0,1.0,1
4,2500000,5400000,10,592,3400000,1500000,9900000,Approved,1.0,0.0,1.0,0.0,1
1,8300000,28900000,12,529,18300000,3900000,32500000,Rejected,1.0,0.0,1.0,0.0,0
4,8000000,23200000,14,738,10900000,12100000,19900000,Approved,0.0,1.0,0.0,1.0,1
4,500000,1500000,20,340,100000,200000,1900000,Rejected,0.0,1.0,0.0,1.0,0
0,8300000,19400000,18,649,2500000,16100000,24300000,Approved,1.0,0.0,1.0,0.0,1
1,8600000,31500000,16,678,19700000,13400000,22200000,Approved,0.0,1.0,1.0,0.0,1
0,1000000,2800000,12,616,700000,700000,3900000,Approved,1.0,0.0,0.0,1.0,1
5,2000000,6200000,18,402,4000000,2100000,7200000,Rejected,1.0,0.0,1.0,0.0,0
0,5300000,17900000,6,678,4700000,3900000,14400000,Approved,1.0,0.0,1.0,0.0,1
3,8200000,30700000,8,467,18200000,3300000,23300000,Rejected,1.0,0.0,1.0,0.0,0
0,4500000,11500000,14,509,13400000,2300000,15400000,Rejected,0.0,1.0,0.0,1.0,0
5,6200000,24200000,18,610,10200000,7800000,19600000,Approved,0.0,1.0,1.0,0.0,1
3,8500000,28300000,2,810,25200000,4300000,18500000,Approved,0.0,1.0,0.0,1.0,1
3,8200000,28300000,2,530,15000000,10500000,20200000,Approved,1.0,0.0,1.0,0.0,1
1,8300000,17700000,10,673,23700000,5300000,28700000,Approved,1.0,0.0,0.0,1.0,1
2,8600000,28800000,8,890,23300000,5900000,21200000,Approved,1.0,0.0,0.0,1.0,1
0,5800000,12600000,2,859,13500000,4700000,21200000,Approved,0.0,1.0,0.0,1.0,1
1,9600000,34100000,20,828,26100000,19000000,20800000,Approved,1.0,0.0,0.0,1.0,1
0,8400000,31000000,4,783,19000000,13300000,30600000,Approved,1.0,0.0,1.0,0.0,1
2,1600000,5200000,16,525,300000,2900000,5600000,Rejected,0.0,1.0,1.0,0.0,0
5,2000000,7400000,14,799,3600000,3700000,4300000,Approved,0.0,1.0,0.0,1.0,1
3,6700000,15800000,4,445,10500000,7600000,14100000,Rejected,0.0,1.0,0.0,1.0,0
3,8000000,20100000,10,608,9800000,15500000,26100000,Approved,0.0,1.0,1.0,0.0,1
2,5700000,15000000,20,382,13200000,5700000,11800000,Rejected,1.0,0.0,0.0,1.0,0
1,4000000,15600000,12,436,10400000,2800000,14800000,Rejected,0.0,1.0,0.0,1.0,0
0,4600000,12600000,16,574,3400000,6200000,15100000,Approved,0.0,1.0,1.0,0.0,1
4,6500000,14500000,4,588,10300000,9500000,22800000,Approved,1.0,0.0,1.0,0.0,1
4,1100000,2900000,4,554,2800000,1000000,4100000,Approved,0.0,1.0,0.0,1.0,1
1,4600000,10900000,12,463,1200000,1200000,10900000,Rejected,0.0,1.0,0.0,1.0,0
1,2500000,5900000,12,668,7400000,600000,6300000,Approved,1.0,0.0,1.0,0.0,1
2,2300000,5000000,16,588,2000000,3500000,7000000,Approved,0.0,1.0,1.0,0.0,1
3,3000000,8200000,16,713,5300000,5800000,11000000,Approved,0.0,1.0,0.0,1.0,1
1,3100000,11200000,18,665,2000000,5400000,12000000,Approved,0.0,1.0,1.0,0.0,1
1,6500000,18500000,16,815,6300000,10000000,13400000,Approved,1.0,0.0,1.0,0.0,1
5,6200000,22200000,20,819,13500000,6600000,21700000,Approved,0.0,1.0,0.0,1.0,1
3,3700000,13800000,10,621,4000000,800000,11900000,Approved,0.0,1.0,0.0,1.0,1
0,8600000,23000000,14,678,18800000,16400000,22900000,Approved,0.0,1.0,0.0,1.0,1
3,4500000,11400000,8,391,8500000,6800000,9900000,Rejected,0.0,1.0,0.0,1.0,0
0,5000000,16300000,12,737,2600000,3400000,11800000,Approved,0.0,1.0,1.0,0.0,1
5,1100000,3800000,18,508,200000,1800000,2300000,Rejected,1.0,0.0,1.0,0.0,0
4,5500000,14800000,10,354,16000000,3400000,21200000,Rejected,1.0,0.0,0.0,1.0,0
4,6100000,12500000,14,862,11300000,1500000,21900000,Approved,0.0,1.0,0.0,1.0,1
3,1600000,5500000,12,425,600000,800000,5400000,Rejected,1.0,0.0,1.0,0.0,0
4,5800000,14200000,20,535,10200000,4000000,21100000,Rejected,0.0,1.0,1.0,0.0,0
4,5100000,14000000,12,459,9800000,0,10400000,Rejected,1.0,0.0,0.0,1.0,0
0,2700000,10100000,20,693,200000,1700000,5900000,Rejected,0.0,1.0,0.0,1.0,0
4,4500000,15100000,6,693,3700000,1500000,17800000,Approved,0.0,1.0,1.0,0.0,1
4,5700000,14400000,12,645,14500000,8600000,12900000,Approved,0.0,1.0,0.0,1.0,1
3,4200000,14500000,20,840,4500000,5900000,8900000,Approved,0.0,1.0,1.0,0.0,1
2,9400000,37300000,14,383,7800000,15900000,27100000,Rejected,1.0,0.0,0.0,1.0,0
3,3100000,11400000,16,562,3600000,3600000,7200000,Approved,0.0,1.0,0.0,1.0,1
5,4300000,14100000,12,532,12600000,5700000,12000000,Rejected,0.0,1.0,0.0,1.0,0
4,600000,2300000,6,495,1700000,600000,2000000,Rejected,1.0,0.0,0.0,1.0,0
5,4400000,16500000,10,806,3500000,4400000,11200000,Approved,1.0,0.0,0.0,1.0,1
1,8300000,20400000,14,348,5600000,12500000,29100000,Rejected,0.0,1.0,1.0,0.0,0
2,2900000,8300000,10,693,7500000,1900000,9700000,Approved,0.0,1.0,0.0,1.0,1
5,8000000,28000000,10,449,18500000,1500000,17400000,Rejected,1.0,0.0,0.0,1.0,0
4,5600000,15600000,12,470,9900000,10700000,14600000,Rejected,1.0,0.0,1.0,0.0,0
1,8300000,28400000,16,704,1400000,11700000,16900000,Approved,0.0,1.0,0.0,1.0,1
4,5700000,14800000,16,697,14300000,7800000,12900000,Approved,1.0,0.0,1.0,0.0,1
0,3700000,11600000,10,747,0,4500000,9000000,Approved,1.0,0.0,0.0,1.0,1
1,1900000,4700000,2,870,4700000,2300000,3900000,Approved,0.0,1.0,0.0,1.0,1
2,4800000,18500000,20,605,5700000,5500000,14700000,Approved,1.0,0.0,1.0,0.0,1
5,6100000,22500000,6,776,17600000,9900000,13800000,Approved,1.0,0.0,0.0,1.0,1
2,1700000,5900000,16,610,3100000,300000,3700000,Approved,1.0,0.0,1.0,0.0,1
2,5700000,16400000,12,708,3700000,800000,15000000,Approved,0.0,1.0,1.0,0.0,1
2,7700000,15400000,18,524,12900000,5100000,21000000,Rejected,1.0,0.0,1.0,0.0,0
3,3200000,9200000,14,443,3300000,1100000,7200000,Rejected,0.0,1.0,1.0,0.0,0
1,700000,2700000,20,669,100000,1000000,2600000,Approved,0.0,1.0,0.0,1.0,1
